City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,lebu,-37.6167,-73.65,12.72,94,57,2.36,CL,1681348308
85,grindavik,63.8424,-22.4338,2.26,80,0,4.12,IS,1681348299
86,praia da vitoria,38.7333,-27.0667,16.14,88,20,3.63,PT,1681348773
87,sabang,5.8933,95.3214,28.05,75,75,3.59,ID,1681348773
88,castro,-24.7911,-50.0119,15.91,87,3,1.46,BR,1681348295
89,hilo,19.7297,-155.09,25.71,81,75,5.14,US,1681348072
90,nishihara,26.1842,127.7558,24.03,73,75,8.23,JP,1681348304
91,tiksi,71.6872,128.8694,-21.05,99,97,2.16,RU,1681348322
92,port alfred,-33.5906,26.891,18.45,59,93,3.48,ZA,1681348286
93,rocha,-34.4833,-54.3333,14.94,71,100,5.0,UY,1681348773
94,isangel,-19.55,169.2667,29.73,66,56,2.92,VU,1681348351
95,taoudenni,22.6783,-3.9836,25.82,9,100,4.16,ML,1681348313
96,laguna,38.421,-121.4238,19.31,39,0,4.12,US,1681348095
97,hobart,-42.8794,147.3294,17.37,68,75,2.57,AU,1681348193
98,nador,35.174,-2.9287,20.14,52,0,6.69,MA,1681348774
99,mbigou,-1.9005,11.906,19.8,99,100,0.82,GA,1681348635
100,ribeira grande,38.5167,-28.7,16.54,94,92,4.02,PT,1681348282
101,richards bay,-28.783,32.0377,19.04,88,100,3.32,ZA,1681348343
102,le port,-20.9373,55.2919,25.0,93,1,1.31,RE,1681348774
103,tukrah,32.5341,20.5791,14.4,81,0,4.51,LY,1681348405
104,berezovka,53.7214,25.4993,8.83,91,100,3.86,BY,1681348774
105,salinopolis,-0.6136,-47.3561,25.85,88,72,3.2,BR,1681348306
106,cabo san lucas,22.8909,-109.9124,26.61,60,40,6.17,MX,1681348210
107,faya,18.3851,42.4509,14.29,67,34,2.72,SA,1681348376
108,atambua,-9.1061,124.8925,27.17,74,45,1.32,ID,1681348775
109,point fortin,10.1833,-61.6833,24.94,72,12,3.38,TT,1681348775
110,lagoa,39.05,-27.9833,15.12,90,65,5.66,PT,1681348336
